LLT_Code,PT_Code
10000001,10081988
10000002,10000002
10000003,10033315
10000004,10033315
10000005,10000005
10000006,10061608
10000007,10000007
10000008,10000009
10000009,10000009
10000010,10000007
10000011,10000011
10000012,10020539
10000013,10000013
10000014,10000014
10000015,10021684
10000016,10021684
10000017,10021684
10000018,10003674
10000019,10046940
10000020,10000020
10000021,10000021
10000022,10003677
10000023,10046940
10000024,10044592
10000025,10044594
10000026,10044596
10000027,10046940
10000028,10000028
10000029,10000029
10000030,10067528
10000031,10068532
10000033,10020916
10000034,10069571
10000035,10003193
10000036,10001052
10000037,10001562
10000038,10001569
10000039,10000081
10000040,10000081
10000041,10000060
10000042,10000059
10000043,10000059
10000044,10000044
10000045,10000060
10000046,10000060
10000047,10000647
10000048,10060921
10000049,10000621
10000050,10000050
10000051,10002882
10000052,10002882
10000053,10002886
10000054,10002882
10000055,10000081
10000056,10000081
10000057,10000081
10000058,10000081
10000059,10000059
10000060,10000060
10000061,10000060
10000062,10000059
10000064,10021118
10000065,10000060
10000066,10000090
10000067,10060954
10000068,10060954
10000069,10060922
10000070,10060923
10000071,10060954
10000074,10060954
10000075,10021151
10000076,10060924
10000077,10000077
10000078,10000077
10000079,10067715
10000080,10000077
10000081,10000081
10000082,10000081
10000083,10000081
10000084,10000084
10000085,10000081
10000086,10000087
10000087,10000087
10000088,10014166
10000089,10052489
10000090,10000090
10000091,10061936
10000092,10061502
10000093,10061937
10000094,10000094
10000095,10060926
10000096,10000647
10000097,10000097
10000098,10000098
10000099,10000099
10000100,10000279
10000101,10000101
10000102,10004721
10000103,10004722
10000104,10004723
10000105,10061611
10000106,10050031
10000107,10016766
10000108,10077252
10000109,10059486
10000110,10047641
10000111,10000111
10000112,10047641
10000113,10005539
10000114,10005540
10000115,10005539
10000116,10003778
10000118,10061422
10000119,10067715
10000120,10064780
10000121,10064780
10000122,10063557
10000123,10010133
10000124,10072729
10000125,10000125
10000126,10014363
10000127,10014408
10000128,10014326
10000129,10014363
10000130,10014408
10000131,10014431
10000132,10061129
10000133,10000133
10000134,10000133
10000136,10017577
10000137,10018429
10000138,10018430
10000139,10018430
10000140,10018430
10000141,10018430
10000142,10018430
10000143,10018430
10000144,10018430
10000145,10018433
10000146,10018433
10000147,10019044
10000148,10012328
10000149,10019311
10000150,10061312
10000151,10013916
10000152,10000153
10000153,10000153
10000154,10000154
10000155,10024062
10000156,10024690
10000157,10024588
10000158,10024690
10000159,10000159
10000160,10016405
10000161,10025513
10000162,10000162
10000163,10040026
10000164,10062080
10000165,10062080
10000166,10061539
10000167,10035532
10000168,10060927
10000169,10037521
10000170,10038254
10000172,10047571
10000173,10000173
10000174,10040026
10000175,10000162
10000177,10061613
10000179,10041498
10000180,10060991
10000181,10000133
10000182,10043431
10000183,10043668
10000184,10033775
10000185,10061400
10000186,10047571
10000187,10047571
10000188,10000188
10000189,10041466
10000194,10044046
10000195,10019037
10000197,10000389
10000198,10000153
10000199,10000153
10000200,10017577
10000201,10061483
10000202,10061548
10000203,10061165
10000204,10061186
10000205,10000205
10000206,10000206
10000207,10000206
10000208,10000206
10000209,10000209
10000210,10000210
10000212,10000212
10000213,10000210
10000214,10061614
10000215,10061615
10000216,10053191
10000217,10000217
10000218,10000218
10000219,10000217
10000220,10000220
10000221,10000221
10000222,10060928
10000223,10000223
10000224,10000220
10000225,10000225
10000226,10053984
10000227,10000220
10000228,10000228
10000229,10000228
10000230,10000230
10000231,10000210
10000234,10000234
10000236,10000236
10000237,10061616
10000238,10000238
10000239,10000239
10000240,10061617
10000241,10000234
10000242,10000242
10000243,10024124
10000244,10006474
10000245,10064990
10000246,10044043
10000247,10044043
10000248,10064990
10000249,10064990
10000250,10064990
10000251,10064990
10000252,10064990
10000253,10064990
10000254,10064990
10000255,10064990
10000256,10064990
10000257,10064990
10000258,10064990
10000259,10064990
10000260,10064990
10000261,10064990
10000262,10064990
10000263,10064990
10000264,10064990
10000265,10064990
10000266,10064990
10000267,10036608
10000268,10034759
10000269,10000269
10000270,10048947
10000271,10000318
10000272,10000272
10000273,10000272
10000274,10004138
10000275,10006171
10000276,10000279
10000277,10061044
10000278,10044016
10000279,10000279
10000280,10015905
10000281,10034294
10000282,10052359
10000283,10028720
10000284,10022044
10000285,10000285
10000286,10038351
10000287,10000269
10000288,10048946
10000289,10004138
10000290,10006171
10000291,10006171
10000292,10006171
10000293,10006171
10000294,10006171
10000295,10000295
10000296,10042343
10000297,10000297
10000298,10050473
10000299,10000285
10000300,10024652
10000301,10025028
10000302,10025028
10000303,10027070
10000304,10036934
10000305,10000305
10000306,10043676
10000307,10050473
10000308,10047732
10000309,10050473
10000310,10000279
10000311,10000311
10000312,10044016
10000313,10034531
10000314,10044016
10000315,10034686
10000316,10087209
10000317,10000317
10000318,10000318
10000320,10042343
10000321,10034759
10000322,10010356
10000323,10010318
10000324,10002654
10000325,10024503
10000326,10001928
10000327,10010550
10000328,10010620
10000329,10010320
10000330,10045445
10000331,10034759
10000333,10003084
10000334,10003084
10000335,10067715
10000336,10024503
10000337,10024503
10000338,10003084
10000339,10003084
10000340,10000340
10000341,10066169
10000342,10066169
10000343,10012335
10000344,10014270
10000345,10014552
10000346,10000346
10000347,10008612
10000348,10061618
10000349,10000349
10000350,10000350
10000351,10000351
10000352,10000351
10000353,10000351
10000354,10000351
10000355,10001540
10000357,10001760
10000358,10000358
10000359,10058084
10000360,10058084
10000361,10000361
10000362,10000362
10000363,10000362
10000364,10000364
10000365,10060929
10000367,10068647
10000368,10000368
10000369,10000369
10000370,10000370
10000371,10000369
10000372,10000372
10000373,10039203
10000374,10008190
10000375,10000370
10000376,10039203
10000377,10000369
10000378,10073317
10000379,10073317
10000380,10022116
10000381,10000381
10000382,10000381
10000383,10000383
10000384,10058818
10000385,10000389
10000386,10072729
10000387,10000389
10000388,10000389
10000389,10000389
10000390,10000389
10000391,10000389
10000392,10000389
10000393,10042159
10000394,10010144
10000395,10044029
10000396,10073767
10000397,10000397
10000398,10060090
10000399,10060941
10000400,10060942
10000401,10060942
10000402,10060943
10000403,10057593
10000404,10057598
10000405,10057595
10000406,10057594
10000407,10057594
10000408,10057595
10000409,10057600
10000410,10000410
10000411,10057593
10000412,10057598
10000413,10023379
10000414,10057595
10000415,10057594
10000416,10057594
10000417,10057600
10000418,10000410
10000419,10023388
10000420,10030136
10000421,10007645
10000422,10030136
10000423,10030136
10000424,10033371
10000425,10008479
10000426,10006298
10000427,10043345
10000428,10033371
10000429,10000087
10000430,10003239
10000431,10033425
10000432,10043255
10000433,10043255
10000434,10043263
10000435,10043242
10000436,10021089
10000437,10020745
10000438,10077558
10000439,10043248
10000440,10043242
10000441,10043255
10000442,10043261
10000443,10006811
10000444,10003239
10000445,10003239
10000446,10015958
10000447,10003239
10000448,10033425
10000449,10003239
10000450,10033425
10000451,10000451
10000452,10087151
10000453,10087151
10000454,10010050
10000455,10000451
10000456,10000456
10000457,10000457
10000458,10000458
10000459,10008422
10000460,10013946
10000461,10070407
10000462,10070408
10000463,10070323
10000464,10013946
10000465,10008428
10000466,10005278
10000467,10005278
10000468,10005279
10000469,10005281
10000470,10005282
10000471,10005282
10000472,10005281
10000473,10005283
10000474,10036938
10000475,10036938
10000476,10053546
10000477,10005282
10000478,10005282
10000479,10017885
10000480,10000456
10000481,10000457
10000482,10000457
10000483,10000483
10000484,10000458
10000486,10000486
10000487,10027417
10000488,10012671
10000489,10000489
10000490,10000489
10000491,10023676
10000492,10027417
10000493,10000486
10000494,10038535
10000495,10038661
10000496,10000496
10000498,10000496
10000499,10006404
10000500,10000496
10000501,10000501
10000502,10000502
10000503,10000503
10000504,10012442
10000505,10000496
10000506,10000496
10000507,10000507
10000508,10000496
10000509,10000507
10000510,10000496
10000511,10000511
10000512,10000496
10000513,10000513
10000514,10039218
10000515,10000496
10000516,10000496
10000517,10000496
10000518,10000518
10000519,10000496
10000520,10012432
10000521,10078794
10000522,10000523
10000523,10000523
10000524,10000524
10000525,10000525
10000526,10000526
10000527,10000527
10000528,10011903
10000529,10011903
10000530,10000350
10000531,10051125
10000532,10033122
10000533,10000533
10000534,10067787
10000535,10010051
10000536,10014002
10000537,10053652
10000538,10061209
10000539,10053652
10000540,10061159
10000541,10061810
10000542,10053652
10000543,10061307
10000544,10061875
10000545,10061335
10000547,10061159
10000548,10018814
10000549,10018916
10000550,10018916
10000551,10018916
10000552,10018814
10000553,10018916
10000554,10018916
10000555,10000555
10000556,10029957
10000557,10021449
10000558,10021449
10000559,10021114
10000560,10021114
10000561,10021199
10000562,10000565
10000563,10000565
10000564,10000565
10000565,10000565
10000566,10000565
10000567,10001513
10000568,10020649
10000569,10027110
10000570,10027496
10000571,10048592
10000572,10048592
10000573,10029404
10000574,10040661
10000575,10063550
10000576,10061829
10000577,10061829
10000578,10013998
10000579,10013999
10000580,10061829
10000581,10043529
10000582,10000582
10000583,10000583
10000584,10025652
10000585,10000585
10000586,10000586
10000587,10000587
10000588,10000588
10000589,10000583
10000590,10000590
10000591,10000591
10000592,10011703
10000593,10012431
10000594,10000594
10000595,10037575
10000596,10000596
10000597,10000596
10000598,10000598
10000599,10000599
10000600,10000599
10000601,10024453
10000602,10024453
10000603,10031248
10000604,10033775
10000605,10000605
10000606,10078638
10000607,10005450
10000608,10005451
10000609,10005452
10000610,10005452
10000611,10005453
10000612,10005454
10000613,10000613
10000614,10000614
10000615,10064127
10000616,10000616
10000617,10072578
10000618,10072578
10000619,10000620
10000620,10000620
10000621,10000621
10000622,10000620
10000623,10000620
10000624,10000620
10000625,10000629
10000626,10000620
10000628,10000628
10000629,10000629
10000630,10000630
10000631,10000631
10000632,10000631
10000633,10000637
10000634,10000636
10000635,10000635
10000636,10000636
10000637,10000637
10000638,10014866
10000639,10021430
10000640,10027183
10000641,10027183
10000642,10027183
10000643,10039119
10000644,10037211
10000645,10021021
10000646,10000646
10000647,10000647
10000648,10008614
10000649,10019728
10000650,10001605
10000651,10001605
10000652,10001605
10000653,10001605
10000654,10001605
10000655,10061557
10000656,10020751
10000657,10061557
10000658,10061557
10000659,10046735
10000660,10001986
10000661,10001986
10000662,10002198
